TICKET,MAIN,SUB,DEEP
case_333,main_0,sub_0,deep_0
case_777,main_0,sub_0,deep_0
case_667,main_0,sub_0,deep_0
case_359,main_0,sub_0,deep_0
case_18,main_0,sub_0,deep_0
case_219,main_0,sub_0,deep_0
case_690,main_0,sub_0,deep_0
case_184,main_0,sub_0,deep_0
case_581,main_0,sub_0,deep_0
case_325,main_0,sub_0,deep_0
case_747,main_0,sub_0,deep_0
case_616,main_0,sub_0,deep_0
case_598,main_0,sub_0,deep_0
case_544,main_0,sub_0,deep_0
case_653,main_0,sub_0,deep_0
case_237,main_0,sub_0,deep_0
case_384,main_0,sub_0,deep_0
case_89,main_0,sub_0,deep_0
case_665,main_0,sub_0,deep_0
case_405,main_0,sub_0,deep_0
case_272,main_0,sub_0,deep_1
case_775,main_0,sub_0,deep_1
case_26,main_0,sub_0,deep_1
case_728,main_0,sub_0,deep_1
case_6,main_0,sub_0,deep_1
case_71,main_0,sub_0,deep_1
case_525,main_0,sub_0,deep_1
case_561,main_0,sub_0,deep_1
case_418,main_0,sub_0,deep_1
case_13,main_0,sub_0,deep_1
case_514,main_0,sub_0,deep_1
case_488,main_0,sub_0,deep_1
case_176,main_0,sub_0,deep_1
case_545,main_0,sub_0,deep_1
case_242,main_0,sub_0,deep_2
case_157,main_0,sub_0,deep_2
case_539,main_0,sub_0,deep_2
case_473,main_0,sub_0,deep_2
case_613,main_0,sub_0,deep_2
case_497,main_0,sub_0,deep_2
case_227,main_0,sub_0,deep_2
case_401,main_0,sub_0,deep_2
case_359,main_0,sub_0,deep_3
case_185,main_0,sub_0,deep_3
case_633,main_0,sub_0,deep_3
case_365,main_0,sub_0,deep_3
case_709,main_0,sub_0,deep_4
case_579,main_0,sub_0,deep_4
case_491,main_0,sub_0,deep_4
case_210,main_0,sub_0,deep_4
case_609,main_0,sub_0,deep_4
case_486,main_0,sub_0,deep_4
case_688,main_0,sub_0,deep_4
case_751,main_0,sub_0,deep_4
case_650,main_0,sub_0,deep_4
case_178,main_0,sub_0,deep_4
case_491,main_0,sub_0,deep_5
